obs,tb3,tb6,time,time2
2006M11,4.94000005722046,4.94999980926514,311,96721
2006M12,4.84999990463257,4.88000011444092,312,97344
2007M01,4.98000001907349,4.94999980926514,313,97969
2007M02,5.03000020980835,4.96000003814697,314,98596
2007M03,4.94000005722046,4.8899998664856,315,99225
2007M04,4.86999988555908,4.8600001335144,316,99856
2007M05,4.73000001907349,4.78000020980835,317,100489
2007M06,4.6100001335144,4.76000022888184,318,101124
2007M07,4.82000017166138,4.82999992370606,319,101761
2007M08,4.19999980926514,4.38000011444092,320,102400
2007M09,3.89000010490417,4.05000019073486,321,103041
2007M10,3.90000009536743,4.01000022888184,322,103684
2007M11,3.26999998092651,3.46000003814697,323,104329
2007M12,3,3.23000001907349,324,104976
2008M01,2.75,2.75,325,105625
2008M02,2.11999988555908,2.03999996185303,326,106276
2008M03,1.25999999046326,1.48000001907349,327,106929
2008M04,1.28999996185303,1.54999995231628,328,107584
2008M05,1.73000001907349,1.82000005245209,329,108241
2008M06,1.86000001430511,2.13000011444092,330,108900
2008M07,1.62999999523163,1.92999994754791,331,109561
2008M08,1.72000002861023,1.91999995708466,332,110224
2008M09,1.12999999523163,1.61000001430511,333,110889
2008M10,0.670000016689301,1.20000004768372,334,111556
2008M11,0.189999997615814,0.730000019073486,335,112225
2008M12,0.0299999993294477,0.259999990463257,336,112896
2009M01,0.129999995231628,0.300000011920929,337,113569
2009M02,0.300000011920929,0.449999988079071,338,114244
2009M03,0.209999993443489,0.419999986886978,339,114921
2009M04,0.159999996423721,0.349999994039536,340,115600
2009M05,0.180000007152557,0.300000011920929,341,116281
2009M06,0.180000007152557,0.310000002384186,342,116964
2009M07,0.180000007152557,0.270000010728836,343,117649
2009M08,0.170000001788139,0.259999990463257,344,118336
2009M09,0.119999997317791,0.209999993443489,345,119025
2009M10,0.0700000002980232,0.159999996423721,346,119716
2009M11,0.0500000007450581,0.150000005960464,347,120409
2009M12,0.0500000007450581,0.170000001788139,348,121104
2010M01,0.0599999986588955,0.150000005960464,349,121801
